合同编号,专区码, 原专区名称,所属, 专区名称,客户类型,分公司,省份,地市,所属平台,项目经理,远程交付,商务,开发,确认接入时间,接入时间至今,专区上线自检表反馈时间,上线时间至今,专区状态,25年收益情况,26年收益情况,总收益情况,备注,专区地址,近期交易,今日开标,专区成本,上线前成本,预警等级,所属省份,收款方式,总成本,成本率
C2026010038,DQ_XCSZHZB,湖北香城资产运营有限公司,,香城公司数智化电子招投标采购平台,企业,交易云服务华南分公司,湖北省,咸宁市,企业数字化采购平台（8.0）,,谭慧敏,罗永健,钟源,2026-01-22,2月9天,2026-02-28,1月3天,上线无量,0.0,0.0,0.0,,https://hbxczczq.etrading.cn/,,,13978.67,11226.47,正常,湖北,,25205.14,0.0
C2026030012,,咸宁市咸安区经济发展（集团)有限公司招采平台,,企业,企业,交易武汉分公司,湖北省,咸宁市,企业数字化采购平台（8.0）,,谭慧敏,罗永健,罗姬续,2026-03-20,11天,,,,,,0.0,,,,,92.58,0.0,正常,湖北,,92.58,0.0
C2023030024,DQ_XinJiang,新疆专区,,,政府,交易云服务华北分公司,新疆维吾尔族自治区,新疆,新点电子交易平台（7.0）,,谭慧敏,李鹏博,黄安、沈智珩,2021-08-10,4年7月21天,2021-08-25,4年7月6天,上线有量,41725.0,7650.0,10345.0,,http://xinjiang.etrading.cn,0.0,0.0,11939.0,0.0,运营成本过高(红色);成熟期收益不达标(橙色),新疆,线上我司全收,11939.0,115.40840985983567
C2023110050,DQ_YiLi,伊犁专区,,,企业,交易云服务华北分公司,新疆维吾尔族自治区,伊宁市,新点电子交易平台（7.0）,,谭慧敏,李鹏博,黄安、沈智珩,2023-11-20,2年4月11天,2023-12-15,2年3月16天,上线有量,55110.0,3870.0,58980.0,,https://yili.etrading.cn/,0.0,0.0,1795.89,0.0,正常,新疆,线上客户全收，线下结算,1795.89,3.044913530010173
C2024050023,DQ_CJCJSZ,昌吉城建市政招采平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉,江苏限额以下平台（7.0）,,谭慧敏,李鹏博,黄安、沈智珩,2024-03-07,2年24天,2024-03-18,2年13天,上线有量,367570.0,0.0,767865.0,,https://cjcjsz.etrading.cn/,0.0,0.0,24708.5,0.0,正常,新疆,线上我司全收,24708.5,3.2178182362785126
C2025010013,DQ_xjxy,南疆区域招投标交易智慧平台,,,企业,交易云服务华北分公司,新疆维吾尔族自治区,喀什,新点电子交易平台（7.0）,,张园园,李鹏博,黄安,2024-04-07,1年11月24天,2024-04-19,1年11月12天,上线有量,,,9940.0,,https://nanjiang.etrading.cn/,0.0,0.0,17342.33,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),新疆,线上客户全收，线下结算,17342.33,174.4701207243461
C2024100021,DQ_Cjshangmao,新疆昌隆建设招采平台 ,,昌吉商贸平台,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉,江苏限额以下平台（7.0）,,张园园,李鹏博,黄安、沈智珩,2024-05-23,1年10月8天,2024-07-01,1年8月30天,上线有量,46260.0,2800.0,55745.0,,https://xjcljs.etrading.cn/,2.0,0.0,12923.94,0.0,正常,新疆,线上我司全收,12923.94,23.184034442550903
C2025010014,DQ_Zhengxing,正兴数字化交易服务平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,乌鲁木齐,新点电子交易平台（7.0）,,谭慧敏,王沈斌,黄安、沈智珩,2024-05-28,1年10月3天,2024-07-04,1年8月27天,上线有量,117590.0,32400.0,215390.0,,https://zhengxing.etrading.cn/,4.0,0.0,12651.39,0.0,正常,新疆,线上我司全收,12651.39,5.873712800037142
C2024120058,DQ_HaJian,哈建集团电子招采平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,哈密,新点电子交易平台（7.0）,,丁秀春,李鹏博,黄安、沈智珩,2024-07-17,1年8月14天,,,上线有量,35405.0,3400.0,38805.0,,https://hajian.etrading.cn/,1.0,0.0,11317.31,0.0,正常,新疆,线上客户全收，线下结算,11317.31,29.16456642185285
C2025030012,DQ_CJGXJSCYPT,昌吉高新技术产业招标采购平台,,昌吉回族自治州高新技术产业发展有限责任公司限额以下项目电子采购平台,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉,新点电子交易平台（7.0）,,张园园,李鹏博,黄安、沈智珩,2024-10-28,1年5月3天,2024-11-15,1年4月16天,上线有量,19055.0,1500.0,20555.0,,,,,22824.74,0.0,运营成本过高(红色),新疆,线上我司全收,22824.74,111.0422768182924
C2025040023,DQ_MNSGTPT,玛纳斯国投电子招标采购平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉,江苏限额以下平台（7.0）,无,丁秀春,李鹏博,沈智珩,2025-03-10,1年21天,,,上线有量,9040.0,3450.0,12490.0,,https://mnsgt.etrading.cn/,0.0,0.0,22112.57,0.0,运营成本过高(红色),新疆,线上我司全收,22112.57,177.042193755004
C2025040057,DQ_ShangKun,尚坤电子招标采购平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,,江苏限额以下平台（7.0）,无,丁秀春,李鹏博,沈智珩,2025-04-29,11月2天,,,上线有量,20020.0,5250.0,25270.0,,https://shangkun.etrading.cn/,0.0,0.0,29528.77,0.0,运营成本过高(红色),新疆,线上我司全收,29528.77,116.85306687772061
C2025060003,DQ_CJZJT,昌吉州交投平台,大企业,,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉州,企业数字化采购平台（8.0）,无,张园园,李鹏博,耿昀,2025-06-01,9月30天,,,上线有量,69005.0,17320.0,85325.0,,https://cjjt.etrading.cn,0.0,0.0,48296.97,0.0,运营成本过高(红色),新疆,线上我司全收,48296.97,56.60353940814533
C2025090047,DQ_CJZGK,庭州嘉泽工程招投标平台,大企业,昌吉市国控集团平台,企业,交易云服务华北分公司,新疆维吾尔族自治区,,企业数字化采购平台（8.0）,无,张园园,李鹏博,钟源,2025-09-26,6月5天,,,上线无量,0.0,0.0,0.0,,https://hamisz.etrading.cn/,0.0,0.0,29917.61,0.0,正常,新疆,,29917.61,0.0
C2025120025,DQ_Hamihengrui,哈密市恒瑞建设工程有限责任公司电子招采平台,,哈密市恒瑞建设工程有限责任公司电子招采平台,企业,交易云服务华北分公司,新疆维吾尔族自治区,哈密,新点电子交易平台（7.0）,,丁秀春,李鹏博,黄安、沈智珩,2025-12-15,3月16天,2025-12-15,3月16天,上线无量,0.0,0.0,0.0,,https://hamihengrui.etrading.cn/,0.0,0.0,16360.9,0.0,成长期无收益(黄色);成长期收益低效(橙色),新疆,线上分开划转,16360.9,0.0
C2026020029,DQ_QDnmytz,奇鼎农牧业投资有限责任公司招采平台,,,企业,交易云服务华北分公司,新疆维吾尔族自治区,昌吉州,新点电子交易平台（7.0）,无,彭明松,李鹏博,沈智珩,2026-02-25,1月6天,2026-03-09,22天,上线有量,0.0,0.0,0.0,,https://qdnmyzc.etrading.cn/,0.0,0.0,14345.95,9570.24,正常,新疆,线上我司全收,23916.190000000002,0.0
C2026030015,DQ_CJZGK,哈密市政工程招采平台,,哈密市政工程招采平台,企业,交易云乌鲁木齐分公司,新疆维吾尔族自治区,哈密,企业数字化采购平台（8.0）,李勇,李勇,李鹏博,耿昀,2026-03-19,12天,,,推进中,,,0.0,,https://hamisz.etrading.cn/,0.0,0.0,0.0,0.0,正常,新疆,,0.0,0.0
C2021120013,DQ_DeZhou,德e采专区,,,企业,交易云服务华东分公司,山东省,德州市,江苏限额以下平台（7.0）,丁棋效,袁振州,张宇田,张渝、陈章,2021-11-16,4年4月15天,2021-12-03,4年3月28天,上线有量,6372.65,1280.0,103717.65,,http://dec.etrading.cn,1,0.0,20266.15,0.0,正常,山东,,20266.15,19.539731183651003
C202201004,DQ_WeiFang,潍坊专区,,,企业,交易云服务华东分公司,山东省,潍坊市,江苏限额以下平台（7.0）,,卜舒琴,张宇田,张渝、陈章,2022-01-10,4年2月21天,2022-01-21,4年2月10天,上线有量,0.0,0.0,19100.0,,http://weifang.etrading.cn/,0,0.0,0.0,0.0,成熟期收益不达标(橙色),山东,,0.0,0.0
C2022030018,DQ_HanGuang,瀚广专区,,,企业,交易云服务华东分公司,山东省,淄博市,江苏限额以下平台（7.0）,,袁振州,张宇田,张渝、陈章,2022-02-14,4年1月17天,2022-03-11,4年20天,上线有量,6095.0,960.0,17925.0,,http://hanguang.etrading.cn/,0,0.0,7958.13,0.0,运营成本过高(红色);成熟期收益不达标(橙色),山东,,7958.13,44.39682008368201
C2022120062,DQ_DongYin,东营专区,,,其他,交易云服务华东分公司,山东省,东营市,江苏限额以下平台（7.0）,,袁振州,张宇田,张渝、陈章,2022-07-28,3年8月3天,2022-09-28,3年6月3天,上线有量,0.0,0.0,2858.06,,http://dongying.etrading.cn/,0,0.0,0.0,0.0,成熟期收益不达标(橙色),山东,,0.0,0.0
C2022100016,DQ_WeiZe,泰易采专区,,维泽专区,企业,交易云服务华东分公司,山东省,泰安市,江苏限额以下平台（7.0）,,袁振州,张宇田,张渝、陈章,2022-08-29,3年7月2天,2022-10-11,3年5月20天,上线有量,0.0,0.0,1950.0,,https://taiyicai.etrading.cn/,0,0.0,0.0,0.0,成熟期收益不达标(橙色),山东,,0.0,0.0
C2022120027,DQ_JiaXin,嘉信专区,,,企业,交易云服务华东分公司,山东省,青岛市,江苏限额以下平台（7.0）,,袁振州,王正初,张渝、陈章,2022-11-14,3年4月17天,2022-12-12,3年3月19天,上线有量,0.0,0.0,3200.0,,http://jiaxin.etrading.cn/,0,0.0,0.0,0.0,成熟期收益不达标(橙色),山东,,0.0,0.0
C2023030007,DQ_LinRui,临易采专区,,原临瑞专区,企业,交易云服务华东分公司,山东省,临沂市,江苏限额以下平台（7.0）,,袁振州,张宇田,张渝、陈章,2023-02-28,3年1月3天,2023-03-29,3年2天,上线有量,8575.0,0.0,26710.0,,https://linrui.etrading.cn/,0,0.0,6095.09,0.0,正常,山东,,6095.09,22.81950580307001
C2023090029,DQ_GuanZhong,管仲专区,大企业,,企业,交易云服务华东分公司,山东省,淄博市,江苏限额以下平台（7.0）,,袁振州,王正初,张渝、陈章,2023-09-04,2年6月27天,2023-09-22,2年6月9天,上线有量,4960.0,1720.0,8825.0,,https://guanzhong.etrading.cn/,0,0.0,0.0,0.0,成熟期收益不达标(橙色),山东,,0.0,0.0
C2024020005,DQ_TengZhao,枣e滕电子交易平台,,,企业,交易云服务华东分公司,山东省,枣庄市,江苏限额以下平台（7.0）,,袁振州,张宇田,张渝、陈章,2024-02-06,2年1月25天,2024-02-23,2年1月8天,上线有量,2103.0,,6164.0,,https://tengzhao.etrading.cn/,0,0.0,2998.26,0.0,运营成本过高(红色);成熟期收益不达标(橙色),山东,,2998.26,48.64146658014277
C2024070012,DQ_HeZe,新点e交易菏泽专区,,,企业,交易云服务华东分公司,山东省,菏泽市,新点电子交易平台（7.0）,,袁振州,张宇田,"张渝,陈章",2024-04-30,1年11月1天,2024-05-27,1年10月4天,上线无量,1000.0,0.0,1000.0,,https://heze.etrading.cn/,,,995.5,0.0,运营成本过高(红色);成熟期收益不达标(橙色),山东,,995.5,99.55000000000001
C2024110039,DQ_ZhiBo,齐易采专区,,淄博专区,其他,交易云服务华东分公司,山东省,淄博市,江苏限额以下平台（7.0）,,卜舒琴,刘基树 ,,2024-10-16,1年5月15天,2024-11-01,1年4月30天,上线有量,3000.0,2300.0,5300.0,,https://zibo.etrading.cn/,0,0.0,7191.99,0.0,运营成本过高(红色);成熟期收益不达标(橙色),山东,,7191.99,135.69792452830188
C2025030032,DQ_shandongsx,山东卓舜电子交易平台,,,政府,交易云服务华东分公司,山东省,济南,企业数字化采购平台（8.0）,无,袁振州,张宇田,刘天华,2025-03-20,1年11天,,,上线有量,5270.0,0.0,5270.0,,https://shandongsx.etrading.cn/,0,0.0,29257.25,0.0,运营成本过高(红色),山东,,29257.25,555.1660341555977
C2025100016,DQ_HZ,菏泽专区,,,政府,交易云服务华东分公司,山东省,菏泽市,企业数字化采购平台（8.0）,,徐振荣,于建源,耿昀,2025-09-12,6月19天,,,推进中,0.0,0.0,0.0,,http://hezezq.etrading.cn/,HTTP:404,,19624.51,0.0,正常,山东,,19624.51,0.0
C2025120004,DQ_SDBXZQ,山东鸿集电子交易平台,,,企业,交易云服务华东分公司,山东省,济南市,企业数字化采购平台（8.0）,,施佳浩,于建源,钟源,2025-10-17,5月14天,,,推进中,0.0,0.0,0.0,,http://sdhj.etrading.cn,HTTP:404,,9119.3,0.0,正常,山东,,9119.3,0.0
C2025120045,DQ_SDHZZQ,山东华正电子交易平台,,,企业,交易云服务华东分公司,山东省,,企业数字化采购平台（8.0）,,徐振荣,于建源,陈涛,2025-11-19,4月12天,,,推进中,0.0,0.0,0.0,,https://sdhzzq.etrading.cn/,0,0.0,11930.66,0.0,正常,山东,,11930.66,0.0
C2021080028,DQ_ZaoZhuang,五易数云,,,企业,交易云服务华东分公司,山东省,枣庄市,新点电子交易平台（7.0）,,袁振州,张宇田,,,,2021-08-27,4年7月4天,上线有量,0.0,0.0,24125.0,,http://wysy.etrading.cn/,0,0.0,0.0,0.0,正常,山东,,0.0,0.0
C2025120046,DQ_sdak,山东安康电子交易平台,,,企业,交易云服务华东分公司,山东省,济南市,江苏限额以下平台（7.0）,,徐振荣,于建源,张渝,2025-12-04,3月27天,,,推进中,0.0,0.0,0.0,,https://sdak.etrading.cn/,0,0.0,4404.03,0.0,正常,山东,,4404.03,0.0
C2026010026,DQ_ZJXAZQZQ,中技兴安电子交易平台,,,企业,交易云服务华东分公司,山东省,济南市,企业数字化采购平台（8.0）,,顾梦娇,于建源/庞鑫,钟源,2025-12-22,3月9天,,,推进中,0.0,0.0,0.0,,https://zjxapt.etrading.cn,0,0.0,9491.28,0.0,正常,山东,,9491.28,0.0
C2026010027,DQ_sdtx,山东同信电子交易平台,,,企业,交易云服务华东分公司,山东省,泰安市,江苏限额以下平台（7.0）,,杨广磊,张丕振,张渝,2025-12-30,3月1天,,,推进中,0.0,0.0,0.0,,https://sdtx.etrading.cn/,0,0.0,5733.48,0.0,正常,山东,,5733.48,0.0
C2026010025,DQ_SDYLPT,山东悦龙电子交易平台,,,企业,交易云服务华东分公司,山东省,济南市,企业数字化采购平台（8.0）,,顾梦娇,于建源/庞鑫,,2026-01-04,2月27天,,,推进中,0.0,0.0,0.0,,https://sdylpt.etrading.cn/,0,0.0,15462.42,0.0,正常,山东,,15462.42,0.0
C2022120057;B2025120073,DQ_ZGMH,中国民航专区,大企业,,企业,交易云服务华东分公司,北京市,通州区,新点电子交易平台（7.0）,,卜舒琴,刘振飞,黄安、沈智珩,2023-01-30,3年2月1天,2023-04-03,2年11月28天,上线无量,20000.0,0.0,20585.0,,https://zgmh.etrading.cn/,0,0.0,1995.68,0.0,正常,北京,,1995.68,9.694826329851834
C2023040010,DQ_TianJin,津e采,,天津专区,企业,交易云服务华北分公司,天津市,天津市,新点电子交易平台（7.0）,,夏焕焕,法智成,黄安,2023-04-14,2年11月17天,2023-05-12,2年10月19天,上线有量,29500.0,0.0,29500.0,,https://www.jinecai.cn/,0,0.0,7264.47,0.0,正常,天津,,7264.47,24.625322033898307
